 Date, Agent_ID, Process_Type, Accounts_Worked, AHT_Minutes, Quality_Score_Pct, Total_Logged_Hours
17-03-2026,EMP002,Denial Management,54,4,0.97,6.6
17-03-2026,EMP002,Charge Entry,122,4,0.98,7.1
18-03-2026,EMP002,Payment Posting,90,4,0.98,7.9
18-03-2026,EMP002,Denial Management,31,4,0.97,7
18-03-2026,EMP002,Denial Management,54,4,0.97,7.4
18-03-2026,EMP002,Charge Entry,81,4,0.98,7.7
20-03-2026,EMP002,Payment Posting,66,4,0.98,7.9
21-03-2026,EMP002,Payment Posting,70,4,0.98,6.7
21-03-2026,EMP002,Denial Management,46,4,0.97,6.9
22-03-2026,EMP002,Denial Management,46,4,0.97,6.7
01-03-2026,EMP003,Denial Management,38,4,0.97,8
02-03-2026,EMP003,Payment Posting,110,4,0.98,7.2
04-03-2026,EMP003,Charge Entry,139,4,0.98,6.6
04-03-2026,EMP003,Payment Posting,104,4,0.98,7.9
06-03-2026,EMP003,Charge Entry,132,4,0.98,6.7
09-03-2026,EMP003,Denial Management,60,4,0.97,7.2
09-03-2026,EMP003,Payment Posting,67,4,0.98,6.5
10-03-2026,EMP003,Payment Posting,89,4,0.98,6.6
10-03-2026,EMP003,Payment Posting,75,4,0.98,7.5
11-03-2026,EMP003,Denial Management,35,4,0.97,6.7
11-03-2026,EMP003,Charge Entry,85,4,0.98,7.5
11-03-2026,EMP003,Payment Posting,94,4,0.98,7.4
12-03-2026,EMP003,Payment Posting,94,4,0.98,7
14-03-2026,EMP003,Denial Management,50,4,0.97,6.8
16-03-2026,EMP003,Payment Posting,116,4,0.98,7.1
16-03-2026,EMP003,Charge Entry,114,4,0.98,7.2
17-03-2026,EMP003,Payment Posting,63,4,0.98,6.5
18-03-2026,EMP003,Charge Entry,88,4,0.98,7.6
18-03-2026,EMP003,Payment Posting,60,4,0.98,7.5
18-03-2026,EMP003,Charge Entry,97,4,0.98,7.7
19-03-2026,EMP003,Charge Entry,132,4,0.98,7.4
20-03-2026,EMP003,Charge Entry,83,4,0.98,7.4
21-03-2026,EMP003,Payment Posting,61,4,0.98,6.6
22-03-2026,EMP003,Charge Entry,99,4,0.98,7.1
23-03-2026,EMP003,Denial Management,38,4,0.97,8
24-03-2026,EMP003,Denial Management,55,4,0.97,7.7
26-03-2026,EMP003,Payment Posting,94,4,0.98,6.7
27-03-2026,EMP003,Denial Management,59,4,0.97,7.7
28-03-2026,EMP003,Payment Posting,109,4,0.98,6.7
01-03-2026,EMP004,Payment Posting,74,4,0.98,7.5
01-03-2026,EMP004,Denial Management,43,4,0.97,7.7
01-03-2026,EMP004,Charge Entry,132,4,0.98,6.6
02-03-2026,EMP004,Payment Posting,100,4,0.98,7.5
02-03-2026,EMP004,Payment Posting,65,4,0.98,7.8
02-03-2026,EMP004,Payment Posting,103,4,0.98,8
06-03-2026,EMP004,Payment Posting,97,4,0.98,6.6
07-03-2026,EMP004,Denial Management,39,4,0.97,7.2
07-03-2026,EMP004,Charge Entry,85,4,0.98,7.7
07-03-2026,EMP004,Denial Management,55,4,0.97,7.8
08-03-2026,EMP004,Payment Posting,67,4,0.98,7.9
08-03-2026,EMP004,Denial Management,39,4,0.97,7.7
09-03-2026,EMP004,Payment Posting,99,4,0.98,7.8
09-03-2026,EMP004,Denial Management,41,4,0.97,7.9
12-03-2026,EMP004,Payment Posting,77,4,0.98,8
12-03-2026,EMP004,Denial Management,30,4,0.97,6.7
13-03-2026,EMP004,Denial Management,50,4,0.97,7.1
13-03-2026,EMP004,Payment Posting,110,4,0.98,7.6
15-03-2026,EMP004,Denial Management,39,4,0.97,7.1
15-03-2026,EMP004,Denial Management,39,4,0.97,7.7
16-03-2026,EMP004,Charge Entry,103,4,0.98,6.5
17-03-2026,EMP004,Payment Posting,84,4,0.98,7.2
17-03-2026,EMP004,Charge Entry,140,4,0.98,7.8
18-03-2026,EMP004,Denial Management,55,4,0.97,6.5
20-03-2026,EMP004,Charge Entry,103,4,0.98,7.5
22-03-2026,EMP004,Charge Entry,110,4,0.98,7.2
24-03-2026,EMP004,Payment Posting,96,4,0.98,7.6
24-03-2026,EMP004,Denial Management,37,4,0.97,8
25-03-2026,EMP004,Denial Management,45,4,0.97,7
25-03-2026,EMP004,Denial Management,52,4,0.97,7.5
25-03-2026,EMP004,Payment Posting,63,4,0.98,7.3
26-03-2026,EMP004,Charge Entry,142,4,0.98,8
26-03-2026,EMP004,Denial Management,53,4,0.97,7.8
26-03-2026,EMP004,Denial Management,51,4,0.97,6.7
27-03-2026,EMP004,Charge Entry,131,4,0.98,7.2
28-03-2026,EMP004,Payment Posting,78,4,0.98,7.3
28-03-2026,EMP004,Payment Posting,66,4,0.98,7.3
29-03-2026,EMP004,Payment Posting,109,4,0.98,7.6
29-03-2026,EMP004,Charge Entry,103,4,0.98,7.7
29-03-2026,EMP004,Payment Posting,108,4,0.98,7.4
30-03-2026,EMP004,Charge Entry,119,4,0.98,6.6
02-03-2026,EMP005,Denial Management,60,4,0.97,7.1
02-03-2026,EMP005,Charge Entry,100,4,0.98,7.2
02-03-2026,EMP005,Denial Management,34,4,0.97,6.9
05-03-2026,EMP005,Denial Management,42,4,0.97,7.3
05-03-2026,EMP005,Charge Entry,138,4,0.98,7.4
05-03-2026,EMP005,Denial Management,60,4,0.97,6.7
06-03-2026,EMP005,Charge Entry,83,4,0.98,7.7
07-03-2026,EMP005,Payment Posting,107,4,0.98,7.9
08-03-2026,EMP005,Denial Management,60,4,0.97,7.9
09-03-2026,EMP005,Payment Posting,77,4,0.98,7.9
09-03-2026,EMP005,Denial Management,40,4,0.97,6.5
09-03-2026,EMP005,Denial Management,42,4,0.97,8
10-03-2026,EMP005,Denial Management,46,4,0.97,7.2
10-03-2026,EMP005,Charge Entry,92,4,0.98,6.7
11-03-2026,EMP005,Charge Entry,130,4,0.98,6.6
11-03-2026,EMP005,Denial Management,50,4,0.97,7.7
12-03-2026,EMP005,Charge Entry,118,4,0.98,7
12-03-2026,EMP005,Charge Entry,95,4,0.98,7.3
12-03-2026,EMP005,Denial Management,37,4,0.97,7.1
13-03-2026,EMP005,Denial Management,54,4,0.97,6.5
17-03-2026,EMP005,Charge Entry,121,4,0.98,6.8
18-03-2026,EMP005,Payment Posting,110,4,0.98,8
18-03-2026,EMP005,Charge Entry,128,4,0.98,7.9
19-03-2026,EMP005,Charge Entry,90,4,0.98,6.7
19-03-2026,EMP005,Payment Posting,95,4,0.98,6.8
20-03-2026,EMP005,Payment Posting,111,4,0.98,7.8
20-03-2026,EMP005,Denial Management,58,4,0.97,7.3
22-03-2026,EMP005,Payment Posting,84,4,0.98,7.8
23-03-2026,EMP005,Payment Posting,69,4,0.98,6.7
25-03-2026,EMP005,Payment Posting,85,4,0.98,6.7
26-03-2026,EMP005,Payment Posting,80,4,0.98,7.7
26-03-2026,EMP005,Payment Posting,68,4,0.98,7.5
26-03-2026,EMP005,Payment Posting,78,4,0.98,7.2
26-03-2026,EMP005,Payment Posting,61,4,0.98,7.5
26-03-2026,EMP005,Charge Entry,118,4,0.98,6.9
27-03-2026,EMP005,Payment Posting,114,4,0.98,7.1
27-03-2026,EMP005,Charge Entry,112,4,0.98,7.4
29-03-2026,EMP005,Charge Entry,145,4,0.98,7.5
30-03-2026,EMP005,Denial Management,38,4,0.97,7.9
02-03-2026,EMP006,Charge Entry,121,3,0.98,6.7
02-03-2026,EMP006,Charge Entry,145,6,0.95,7.1
02-03-2026,EMP006,Charge Entry,104,3,0.96,7.6
03-03-2026,EMP006,Payment Posting,89,4,0.9,6.9
07-03-2026,EMP006,Charge Entry,84,3,0.88,7.9
08-03-2026,EMP006,Charge Entry,140,6,0.96,7.4
08-03-2026,EMP006,Charge Entry,88,5,0.93,7.5
09-03-2026,EMP006,Payment Posting,65,6,0.91,6.8
11-03-2026,EMP006,Charge Entry,93,5,0.92,7.4
13-03-2026,EMP006,Charge Entry,86,6,0.95,7.5
13-03-2026,EMP006,Denial Management,57,10,0.83,6.5
15-03-2026,EMP006,Charge Entry,101,4,0.99,6.5
16-03-2026,EMP006,Payment Posting,74,4,1,7.2
16-03-2026,EMP006,Denial Management,35,13,1,7.6
16-03-2026,EMP006,Charge Entry,120,6,0.87,6.7
17-03-2026,EMP006,Charge Entry,117,6,0.84,7.5
18-03-2026,EMP006,Payment Posting,117,6,1,7.3
18-03-2026,EMP006,Charge Entry,83,5,0.88,7.6
19-03-2026,EMP006,Payment Posting,117,6,0.93,7.8
19-03-2026,EMP006,Charge Entry,95,5,0.97,7.9
20-03-2026,EMP006,Charge Entry,89,4,0.99,7.5
22-03-2026,EMP006,Payment Posting,72,4,0.91,7.4
22-03-2026,EMP006,Payment Posting,60,5,0.84,6.6
23-03-2026,EMP006,Payment Posting,111,5,0.91,7.3
26-03-2026,EMP006,Denial Management,54,10,0.89,7.6
28-03-2026,EMP006,Denial Management,60,14,0.87,6.7
29-03-2026,EMP006,Charge Entry,93,3,0.85,6.9
29-03-2026,EMP006,Denial Management,47,12,0.91,7.9
29-03-2026,EMP006,Payment Posting,110,7,0.94,7.8
30-03-2026,EMP006,Charge Entry,143,5,0.98,7.8
01-03-2026,EMP007,Charge Entry,106,3,0.9,7.5
02-03-2026,EMP007,Charge Entry,90,4,0.87,7.3
02-03-2026,EMP007,Charge Entry,148,4,1,7.2
05-03-2026,EMP007,Payment Posting,71,4,0.83,7.6
10-03-2026,EMP007,Charge Entry,116,3,0.82,7.7
11-03-2026,EMP007,Denial Management,40,14,0.84,7.9
13-03-2026,EMP007,Charge Entry,106,5,0.83,7.2
13-03-2026,EMP007,Charge Entry,134,3,0.86,6.5
13-03-2026,EMP007,Denial Management,51,8,0.92,6.5
15-03-2026,EMP007,Denial Management,33,13,0.99,6.9
17-03-2026,EMP007,Charge Entry,142,4,0.94,6.9
18-03-2026,EMP007,Charge Entry,124,6,0.83,7.6
18-03-2026,EMP007,Payment Posting,112,6,0.95,7.4
19-03-2026,EMP007,Payment Posting,98,6,0.94,6.8
19-03-2026,EMP007,Payment Posting,71,4,0.89,6.7
20-03-2026,EMP007,Payment Posting,77,6,0.92,6.5
21-03-2026,EMP007,Payment Posting,63,6,0.82,6.6
22-03-2026,EMP007,Charge Entry,127,6,0.88,6.9
23-03-2026,EMP007,Charge Entry,138,4,0.98,7.5
24-03-2026,EMP007,Charge Entry,127,4,0.97,6.5
25-03-2026,EMP007,Charge Entry,133,3,0.91,7.9
26-03-2026,EMP007,Denial Management,59,10,0.96,6.6
27-03-2026,EMP007,Payment Posting,101,5,0.97,7.3
27-03-2026,EMP007,Denial Management,50,10,0.9,6.7
28-03-2026,EMP007,Denial Management,49,10,0.98,7.5
28-03-2026,EMP007,Payment Posting,68,8,0.93,7.7
01-03-2026,EMP008,Denial Management,36,8,0.93,7.8
01-03-2026,EMP008,Charge Entry,114,5,0.95,7.2
02-03-2026,EMP008,Payment Posting,113,5,0.88,6.5
02-03-2026,EMP008,Denial Management,56,11,0.94,7.7
05-03-2026,EMP008,Payment Posting,112,7,0.83,7.9
06-03-2026,EMP008,Payment Posting,108,8,0.87,6.8
06-03-2026,EMP008,Denial Management,60,10,0.9,7.2
06-03-2026,EMP008,Charge Entry,108,5,0.82,6.6
07-03-2026,EMP008,Payment Posting,66,8,0.95,7.9
07-03-2026,EMP008,Denial Management,47,14,0.84,6.9
08-03-2026,EMP008,Denial Management,34,10,0.97,7.4
08-03-2026,EMP008,Denial Management,45,9,0.85,6.6
08-03-2026,EMP008,Payment Posting,91,7,0.96,7.7
08-03-2026,EMP008,Payment Posting,80,5,0.92,6.7
09-03-2026,EMP008,Charge Entry,114,4,0.91,7.4
09-03-2026,EMP008,Denial Management,41,11,0.91,7.5
09-03-2026,EMP008,Charge Entry,80,4,0.82,6.7
11-03-2026,EMP008,Charge Entry,94,5,0.99,7.3
12-03-2026,EMP008,Charge Entry,142,4,0.96,7.8
13-03-2026,EMP008,Charge Entry,142,5,0.9,7.8
13-03-2026,EMP008,Charge Entry,131,5,0.86,6.6
14-03-2026,EMP008,Payment Posting,96,6,0.87,6.6
16-03-2026,EMP008,Payment Posting,79,4,0.89,6.9
17-03-2026,EMP008,Charge Entry,116,6,0.83,7.1
19-03-2026,EMP008,Denial Management,58,14,0.97,7.9
20-03-2026,EMP008,Charge Entry,111,6,0.84,6.8
21-03-2026,EMP008,Charge Entry,94,6,0.98,7.1
21-03-2026,EMP008,Payment Posting,117,5,0.89,7.4
22-03-2026,EMP008,Denial Management,31,14,0.95,7
26-03-2026,EMP008,Charge Entry,139,5,0.88,6.9
26-03-2026,EMP008,Denial Management,52,9,0.88,6.5
27-03-2026,EMP008,Denial Management,46,15,1,7.4
28-03-2026,EMP008,Charge Entry,106,6,0.94,7.9
30-03-2026,EMP008,Denial Management,37,15,0.96,7.3
02-03-2026,EMP009,Charge Entry,129,6,0.86,7.1
02-03-2026,EMP009,Payment Posting,93,4,0.97,7.4
04-03-2026,EMP009,Charge Entry,137,5,0.9,7.9
05-03-2026,EMP009,Charge Entry,95,6,0.98,6.6
08-03-2026,EMP009,Denial Management,52,12,0.98,6.6
08-03-2026,EMP009,Denial Management,36,12,0.88,6.6
08-03-2026,EMP009,Payment Posting,120,4,0.88,6.7
09-03-2026,EMP009,Payment Posting,70,4,1,7.9
10-03-2026,EMP009,Payment Posting,87,8,0.83,8
12-03-2026,EMP009,Denial Management,33,13,0.89,7
13-03-2026,EMP009,Payment Posting,99,7,0.83,6.8
14-03-2026,EMP009,Payment Posting,107,5,0.97,7.1
16-03-2026,EMP009,Charge Entry,80,6,0.89,7.8
17-03-2026,EMP009,Payment Posting,72,6,0.88,7.2
17-03-2026,EMP009,Payment Posting,75,4,0.88,6.9
19-03-2026,EMP009,Charge Entry,82,6,0.83,6.6
20-03-2026,EMP009,Denial Management,50,11,0.93,7.6
20-03-2026,EMP009,Charge Entry,150,5,0.88,8
20-03-2026,EMP009,Charge Entry,103,3,0.99,7.7
21-03-2026,EMP009,Payment Posting,116,5,0.94,7.3
21-03-2026,EMP009,Denial Management,37,15,0.84,6.8
22-03-2026,EMP009,Payment Posting,78,7,0.97,7.7
23-03-2026,EMP009,Payment Posting,102,5,0.9,7.7
23-03-2026,EMP009,Payment Posting,74,5,0.93,7.7
26-03-2026,EMP009,Payment Posting,118,8,0.95,6.8
28-03-2026,EMP009,Denial Management,42,8,0.96,7.7
29-03-2026,EMP009,Charge Entry,123,5,0.84,7.4
01-03-2026,EMP010,Payment Posting,87,4,0.95,7.4
02-03-2026,EMP010,Charge Entry,80,6,0.83,7.4
05-03-2026,EMP010,Denial Management,60,14,0.95,7.2
05-03-2026,EMP010,Payment Posting,60,6,0.96,7.3
05-03-2026,EMP010,Denial Management,54,8,0.82,6.9
06-03-2026,EMP010,Payment Posting,104,7,0.83,7.8
07-03-2026,EMP010,Payment Posting,104,8,0.97,6.6
10-03-2026,EMP010,Charge Entry,134,6,0.86,7.2
11-03-2026,EMP010,Denial Management,31,9,0.86,7.6
11-03-2026,EMP010,Payment Posting,67,4,0.91,6.8
11-03-2026,EMP010,Payment Posting,71,6,0.89,6.7
12-03-2026,EMP010,Payment Posting,107,8,0.94,7.5
14-03-2026,EMP010,Denial Management,32,12,0.95,7.3
14-03-2026,EMP010,Denial Management,31,8,0.84,7
15-03-2026,EMP010,Denial Management,56,10,0.91,7.9
16-03-2026,EMP010,Charge Entry,141,3,0.9,7.7
16-03-2026,EMP010,Charge Entry,127,4,0.91,6.9
16-03-2026,EMP010,Denial Management,33,13,0.97,6.6
17-03-2026,EMP010,Denial Management,56,9,0.96,7.4
17-03-2026,EMP010,Denial Management,52,15,0.94,7.9
17-03-2026,EMP010,Charge Entry,90,5,0.86,7.9
18-03-2026,EMP010,Charge Entry,132,3,0.85,7.8
18-03-2026,EMP010,Charge Entry,125,3,0.93,7.6
19-03-2026,EMP010,Charge Entry,93,5,0.84,7.4
20-03-2026,EMP010,Charge Entry,82,4,0.91,6.9
22-03-2026,EMP010,Charge Entry,110,3,0.85,6.7
23-03-2026,EMP010,Charge Entry,100,5,0.97,7.7
25-03-2026,EMP010,Payment Posting,67,7,0.85,7.7
27-03-2026,EMP010,Payment Posting,84,8,0.88,6.8
27-03-2026,EMP010,Payment Posting,79,8,0.99,7.5
28-03-2026,EMP010,Denial Management,56,8,0.9,6.9
28-03-2026,EMP010,Payment Posting,70,8,0.99,7
29-03-2026,EMP010,Payment Posting,103,5,0.99,7.9
29-03-2026,EMP010,Denial Management,53,14,0.88,7.1
30-03-2026,EMP010,Denial Management,31,11,0.98,7.8
01-03-2026,EMP011,Payment Posting,90,7,0.83,7.9
02-03-2026,EMP011,Charge Entry,112,6,0.86,6.8
03-03-2026,EMP011,Payment Posting,102,6,0.95,6.8
04-03-2026,EMP011,Charge Entry,137,3,0.96,6.7
05-03-2026,EMP011,Denial Management,58,14,0.83,7.6
08-03-2026,EMP011,Charge Entry,136,4,0.93,7.9
08-03-2026,EMP011,Payment Posting,91,7,0.84,6.6
10-03-2026,EMP011,Payment Posting,104,5,0.91,6.6
11-03-2026,EMP011,Payment Posting,102,5,0.94,7.7
12-03-2026,EMP011,Payment Posting,108,4,0.94,6.7
13-03-2026,EMP011,Payment Posting,101,4,0.95,7.9
13-03-2026,EMP011,Charge Entry,133,5,0.95,7.9
14-03-2026,EMP011,Payment Posting,108,7,0.88,7.4
14-03-2026,EMP011,Denial Management,38,12,0.89,7.4
16-03-2026,EMP011,Denial Management,43,13,0.99,6.7
20-03-2026,EMP011,Charge Entry,120,5,0.94,7.7
22-03-2026,EMP011,Denial Management,35,14,0.96,6.9
26-03-2026,EMP011,Charge Entry,81,5,0.84,7.2
27-03-2026,EMP011,Denial Management,45,10,0.91,7.1
29-03-2026,EMP011,Payment Posting,73,8,0.94,7.4
30-03-2026,EMP011,Denial Management,46,15,1,6.5
01-03-2026,EMP012,Payment Posting,89,8,0.97,7.5
02-03-2026,EMP012,Denial Management,32,13,0.9,6.9
02-03-2026,EMP012,Denial Management,59,10,0.96,7.7
04-03-2026,EMP012,Payment Posting,68,6,0.99,7.2
04-03-2026,EMP012,Denial Management,41,8,0.99,6.7
04-03-2026,EMP012,Denial Management,41,9,0.97,7
05-03-2026,EMP012,Charge Entry,131,4,0.88,7.8
06-03-2026,EMP012,Denial Management,42,15,0.97,6.6
08-03-2026,EMP012,Denial Management,60,12,1,6.7
08-03-2026,EMP012,Charge Entry,125,5,0.91,7.6
08-03-2026,EMP012,Payment Posting,114,6,0.99,7.6
10-03-2026,EMP012,Charge Entry,95,3,0.83,6.6
12-03-2026,EMP012,Denial Management,39,9,0.97,7
17-03-2026,EMP012,Denial Management,34,12,0.84,7.7
18-03-2026,EMP012,Denial Management,59,15,1,7
18-03-2026,EMP012,Denial Management,60,8,0.93,7
20-03-2026,EMP012,Denial Management,31,14,0.87,7.8
20-03-2026,EMP012,Charge Entry,143,4,0.89,7.5
20-03-2026,EMP012,Payment Posting,93,7,0.97,7.9
20-03-2026,EMP012,Denial Management,47,13,0.95,7.7
20-03-2026,EMP012,Denial Management,59,14,0.96,7
22-03-2026,EMP012,Charge Entry,107,3,0.97,6.6
22-03-2026,EMP012,Charge Entry,116,5,0.94,7.3
22-03-2026,EMP012,Payment Posting,96,8,0.84,6.5
24-03-2026,EMP012,Denial Management,59,14,0.98,6.8
25-03-2026,EMP012,Denial Management,43,11,0.97,6.5
27-03-2026,EMP012,Charge Entry,105,6,0.99,7.9
28-03-2026,EMP012,Denial Management,38,13,0.86,6.7
29-03-2026,EMP012,Denial Management,57,9,0.88,7
01-03-2026,EMP013,Denial Management,33,13,0.86,7.3
03-03-2026,EMP013,Charge Entry,143,3,0.83,7.2
04-03-2026,EMP013,Payment Posting,60,7,0.91,8
06-03-2026,EMP013,Payment Posting,65,6,0.92,8
07-03-2026,EMP013,Denial Management,31,12,0.98,6.9
07-03-2026,EMP013,Charge Entry,81,4,0.95,7.2
07-03-2026,EMP013,Denial Management,59,15,0.96,7
08-03-2026,EMP013,Charge Entry,114,5,0.92,7
10-03-2026,EMP013,Charge Entry,111,5,0.83,7.7
12-03-2026,EMP013,Payment Posting,109,4,0.83,7.7
12-03-2026,EMP013,Payment Posting,112,8,0.87,6.8
14-03-2026,EMP013,Charge Entry,115,4,0.99,6.8
16-03-2026,EMP013,Denial Management,55,15,0.92,8
17-03-2026,EMP013,Payment Posting,94,6,0.99,7.2
17-03-2026,EMP013,Charge Entry,150,3,0.98,7.7
19-03-2026,EMP013,Payment Posting,75,6,0.96,6.6
20-03-2026,EMP013,Denial Management,51,12,0.92,7.3
20-03-2026,EMP013,Payment Posting,102,5,0.97,8
20-03-2026,EMP013,Denial Management,39,15,0.83,8
20-03-2026,EMP013,Denial Management,44,13,0.84,7.5
21-03-2026,EMP013,Denial Management,46,8,0.98,7.4
23-03-2026,EMP013,Charge Entry,137,6,0.93,6.5
23-03-2026,EMP013,Charge Entry,132,4,0.88,7.4
24-03-2026,EMP013,Charge Entry,84,4,0.93,8
25-03-2026,EMP013,Charge Entry,80,4,1,6.7
26-03-2026,EMP013,Payment Posting,111,5,0.91,7.5
30-03-2026,EMP013,Payment Posting,78,6,1,6.7
30-03-2026,EMP013,Denial Management,57,8,0.86,7.9
01-03-2026,EMP014,Payment Posting,108,4,0.98,7.8
01-03-2026,EMP014,Charge Entry,136,4,0.98,6.9
02-03-2026,EMP014,Charge Entry,91,4,0.98,6.6
03-03-2026,EMP014,Denial Management,39,4,0.97,7.5
04-03-2026,EMP014,Charge Entry,139,4,0.98,7.6
05-03-2026,EMP014,Denial Management,53,4,0.97,7.3
06-03-2026,EMP014,Denial Management,57,4,0.97,6.6
07-03-2026,EMP014,Denial Management,56,4,0.97,7.7
08-03-2026,EMP014,Charge Entry,139,4,0.98,6.7
11-03-2026,EMP014,Denial Management,40,4,0.97,7.3
13-03-2026,EMP014,Payment Posting,82,4,0.98,7.1
14-03-2026,EMP014,Payment Posting,117,4,0.98,8
14-03-2026,EMP014,Charge Entry,99,4,0.98,7.2
17-03-2026,EMP014,Denial Management,59,4,0.97,7.2
18-03-2026,EMP014,Payment Posting,61,4,0.98,7.4
18-03-2026,EMP014,Charge Entry,146,4,0.98,6.8
19-03-2026,EMP014,Charge Entry,83,4,0.98,7
22-03-2026,EMP014,Charge Entry,145,4,0.98,6.9
23-03-2026,EMP014,Denial Management,39,4,0.97,6.6
25-03-2026,EMP014,Payment Posting,64,4,0.98,6.7
26-03-2026,EMP014,Denial Management,38,4,0.97,7.3
27-03-2026,EMP014,Charge Entry,111,4,0.98,6.9
28-03-2026,EMP014,Denial Management,49,4,0.97,7.7
03-03-2026,EMP015,Charge Entry,128,4,0.98,8
04-03-2026,EMP015,Payment Posting,99,4,0.98,6.8
05-03-2026,EMP015,Denial Management,40,4,0.97,7.3
06-03-2026,EMP015,Charge Entry,92,4,0.98,6.5
07-03-2026,EMP015,Payment Posting,120,4,0.98,7.6
07-03-2026,EMP015,Charge Entry,135,4,0.98,7.7
08-03-2026,EMP015,Denial Management,47,4,0.97,6.9
10-03-2026,EMP015,Charge Entry,117,4,0.98,7.5
11-03-2026,EMP015,Denial Management,31,4,0.97,6.7
11-03-2026,EMP015,Payment Posting,90,4,0.98,7
11-03-2026,EMP015,Charge Entry,143,4,0.98,7
11-03-2026,EMP015,Denial Management,51,4,0.97,6.6
12-03-2026,EMP015,Payment Posting,84,4,0.98,8
14-03-2026,EMP015,Charge Entry,132,4,0.98,6.5
14-03-2026,EMP015,Denial Management,44,4,0.97,7.6
15-03-2026,EMP015,Charge Entry,142,4,0.98,6.6
16-03-2026,EMP015,Charge Entry,98,4,0.98,6.8
16-03-2026,EMP015,Charge Entry,133,4,0.98,7.9
17-03-2026,EMP015,Charge Entry,145,4,0.98,7
19-03-2026,EMP015,Denial Management,57,4,0.97,6.6
19-03-2026,EMP015,Denial Management,43,4,0.97,7.1
19-03-2026,EMP015,Charge Entry,123,4,0.98,6.6
20-03-2026,EMP015,Denial Management,49,4,0.97,6.9
20-03-2026,EMP015,Denial Management,52,4,0.97,6.9
20-03-2026,EMP015,Denial Management,51,4,0.97,7
21-03-2026,EMP015,Payment Posting,72,4,0.98,6.9
21-03-2026,EMP015,Charge Entry,145,4,0.98,6.6
22-03-2026,EMP015,Payment Posting,115,4,0.98,7.7
22-03-2026,EMP015,Denial Management,49,4,0.97,7.6
25-03-2026,EMP015,Payment Posting,107,4,0.98,7.4
27-03-2026,EMP015,Denial Management,59,4,0.97,7.2
28-03-2026,EMP015,Denial Management,32,4,0.97,7.2
30-03-2026,EMP015,Charge Entry,140,4,0.98,7.3
30-03-2026,EMP015,Charge Entry,86,4,0.98,6.7
01-03-2026,EMP016,Charge Entry,81,4,0.98,6.6
01-03-2026,EMP016,Payment Posting,60,4,0.98,7.7
02-03-2026,EMP016,Charge Entry,81,4,0.98,7
03-03-2026,EMP016,Denial Management,30,4,0.97,7.9
04-03-2026,EMP016,Payment Posting,78,4,0.98,6.7
04-03-2026,EMP016,Charge Entry,97,4,0.98,6.6
