 Date, Process_Type, Beginning_AR_Count, New_Accounts_Received, Accounts_Resolved, Ending_AR_Count, Target_SLA_Days, Actual_TAT_Days
13-03-2026,Denial Management,1325,752,668,1409,14,16
12-03-2026,Payment Posting,2215,588,390,2413,1,2
11-03-2026,Payment Posting,1297,393,380,1310,1,2
25-03-2026,Payment Posting,1668,998,446,2220,1,2
20-03-2026,Charge Entry,1963,367,511,1819,2,1
21-03-2026,Charge Entry,672,531,370,833,2,3
18-03-2026,Denial Management,623,395,902,116,14,15
20-03-2026,Payment Posting,842,662,1021,483,1,2
15-03-2026,Denial Management,2214,748,874,2088,14,13
06-03-2026,Denial Management,1521,694,1149,1066,14,10
17-03-2026,Charge Entry,2216,807,676,2347,2,4
02-03-2026,Payment Posting,2339,559,554,2344,1,3
13-03-2026,Denial Management,1491,405,823,1073,14,10
07-03-2026,Denial Management,1207,818,932,1093,14,12
28-03-2026,Payment Posting,811,632,934,509,1,3
08-03-2026,Payment Posting,778,414,880,312,1,2
29-03-2026,Payment Posting,928,646,599,975,1,3
04-03-2026,Denial Management,2396,587,869,2114,14,13
07-03-2026,Denial Management,1068,775,1103,740,14,11
09-03-2026,Charge Entry,1406,484,1160,730,2,4
03-03-2026,Charge Entry,734,372,648,458,2,4
02-03-2026,Charge Entry,959,817,1076,700,2,4
14-03-2026,Payment Posting,1495,646,605,1536,1,1
08-03-2026,Charge Entry,1976,690,1009,1657,2,3
14-03-2026,Payment Posting,508,713,1109,112,1,3
21-03-2026,Payment Posting,2465,430,499,2396,1,1
01-03-2026,Charge Entry,2193,502,1070,1625,2,4
17-03-2026,Payment Posting,820,506,1181,145,1,1
22-03-2026,Charge Entry,1406,389,743,1052,2,4
21-03-2026,Payment Posting,1775,762,987,1550,1,2
29-03-2026,Payment Posting,643,873,966,550,1,3
29-03-2026,Denial Management,1376,888,999,1265,14,16
05-03-2026,Charge Entry,784,990,635,1139,2,1
17-03-2026,Payment Posting,1085,686,374,1397,1,3
01-03-2026,Denial Management,1262,874,873,1263,14,12
09-03-2026,Denial Management,683,475,892,266,14,13
19-03-2026,Charge Entry,2324,789,1120,1993,2,1
08-03-2026,Payment Posting,947,554,1046,455,1,2
28-03-2026,Payment Posting,587,727,615,699,1,2
07-03-2026,Charge Entry,1625,871,1122,1374,2,1
20-03-2026,Payment Posting,1221,784,432,1573,1,3
18-03-2026,Payment Posting,1477,602,648,1431,1,3
15-03-2026,Payment Posting,1648,812,404,2056,1,1
29-03-2026,Denial Management,1193,918,437,1674,14,11
28-03-2026,Charge Entry,2467,976,1169,2274,2,2
09-03-2026,Charge Entry,2216,709,642,2283,2,1
05-03-2026,Denial Management,2390,570,687,2273,14,15
11-03-2026,Charge Entry,2153,505,410,2248,2,1
05-03-2026,Charge Entry,872,304,1083,93,2,2
18-03-2026,Denial Management,1668,329,1021,976,14,18
08-03-2026,Denial Management,1741,317,612,1446,14,18
16-03-2026,Charge Entry,645,644,579,710,2,2
21-03-2026,Charge Entry,1922,430,1185,1167,2,2
12-03-2026,Payment Posting,947,754,620,1081,1,3
13-03-2026,Payment Posting,963,546,671,838,1,2
11-03-2026,Charge Entry,1862,726,864,1724,2,4
15-03-2026,Denial Management,1351,321,737,935,14,18
02-03-2026,Payment Posting,1290,447,880,857,1,3
04-03-2026,Payment Posting,1949,427,885,1491,1,2
13-03-2026,Denial Management,2268,638,923,1983,14,18
29-03-2026,Denial Management,2090,340,1033,1397,14,10
28-03-2026,Denial Management,874,724,1049,549,14,11
18-03-2026,Payment Posting,839,399,716,522,1,2
16-03-2026,Charge Entry,929,900,402,1427,2,3
15-03-2026,Payment Posting,1742,422,1166,998,1,2
21-03-2026,Charge Entry,792,847,666,973,2,2
14-03-2026,Payment Posting,1512,493,625,1380,1,3
15-03-2026,Denial Management,2289,953,989,2253,14,12
29-03-2026,Payment Posting,2452,596,569,2479,1,3
30-03-2026,Payment Posting,1799,331,379,1751,1,2
30-03-2026,Charge Entry,994,828,703,1119,2,2
04-03-2026,Denial Management,1252,977,473,1756,14,13
03-03-2026,Payment Posting,1545,602,1124,1023,1,3
04-03-2026,Denial Management,1603,364,917,1050,14,17
28-03-2026,Payment Posting,987,707,1132,562,1,1
26-03-2026,Denial Management,2345,575,1116,1804,14,12
13-03-2026,Payment Posting,2380,844,941,2283,1,3
21-03-2026,Denial Management,2082,306,532,1856,14,13
27-03-2026,Payment Posting,1654,818,989,1483,1,2
06-03-2026,Charge Entry,1100,735,933,902,2,4
27-03-2026,Denial Management,1465,496,554,1407,14,16
21-03-2026,Charge Entry,682,925,859,748,2,3
19-03-2026,Denial Management,677,601,414,864,14,11
09-03-2026,Payment Posting,1212,969,587,1594,1,1
05-03-2026,Payment Posting,538,673,630,581,1,2
23-03-2026,Denial Management,1464,700,393,1771,14,16
14-03-2026,Payment Posting,1566,763,967,1362,1,3
26-03-2026,Denial Management,529,666,1108,87,14,10
23-03-2026,Charge Entry,1945,547,972,1520,2,3
03-03-2026,Denial Management,1915,683,387,2211,14,15
13-03-2026,Payment Posting,769,709,622,856,1,1
04-03-2026,Payment Posting,1263,918,670,1511,1,3
30-03-2026,Payment Posting,1897,596,866,1627,1,2
27-03-2026,Payment Posting,991,992,368,1615,1,1
23-03-2026,Payment Posting,1343,665,966,1042,1,3
05-03-2026,Payment Posting,1036,682,472,1246,1,1
10-03-2026,Charge Entry,2317,366,656,2027,2,4
27-03-2026,Charge Entry,2083,928,398,2613,2,2
05-03-2026,Payment Posting,2019,385,414,1990,1,1
05-03-2026,Charge Entry,1497,600,676,1421,2,4
14-03-2026,Charge Entry,647,791,553,885,2,3
30-03-2026,Charge Entry,701,528,394,835,2,3
05-03-2026,Payment Posting,2097,584,763,1918,1,1
09-03-2026,Charge Entry,2329,612,1086,1855,2,4
09-03-2026,Charge Entry,2488,661,416,2733,2,1
07-03-2026,Payment Posting,1789,878,646,2021,1,2
03-03-2026,Charge Entry,2117,499,483,2133,2,3
18-03-2026,Charge Entry,538,887,733,692,2,1
23-03-2026,Payment Posting,851,871,713,1009,1,1
07-03-2026,Payment Posting,1263,638,793,1108,1,1
20-03-2026,Charge Entry,551,982,966,567,2,1
27-03-2026,Charge Entry,1672,781,749,1704,2,1
10-03-2026,Payment Posting,1684,806,580,1910,1,1
29-03-2026,Payment Posting,794,301,370,725,1,2
08-03-2026,Denial Management,1866,939,457,2348,14,12
05-03-2026,Denial Management,1347,842,626,1563,14,14
11-03-2026,Charge Entry,595,535,991,139,2,2
01-03-2026,Payment Posting,1943,683,819,1807,1,3
16-03-2026,Charge Entry,940,971,400,1511,2,4
26-03-2026,Charge Entry,1832,568,834,1566,2,1
10-03-2026,Denial Management,1308,545,499,1354,14,13
24-03-2026,Payment Posting,1159,777,1047,889,1,2
30-03-2026,Charge Entry,574,859,557,876,2,1
07-03-2026,Payment Posting,2413,452,632,2233,1,2
29-03-2026,Denial Management,2018,530,821,1727,14,13
25-03-2026,Payment Posting,2016,889,880,2025,1,2
17-03-2026,Denial Management,939,720,1145,514,14,17
22-03-2026,Payment Posting,1740,678,723,1695,1,3
29-03-2026,Denial Management,592,577,546,623,14,17
14-03-2026,Denial Management,1248,603,1197,654,14,10
06-03-2026,Payment Posting,1786,639,1072,1353,1,3
20-03-2026,Charge Entry,1797,323,633,1487,2,3
29-03-2026,Denial Management,2424,300,464,2260,14,17
18-03-2026,Charge Entry,1481,305,544,1242,2,4
11-03-2026,Charge Entry,1880,371,381,1870,2,4
24-03-2026,Charge Entry,763,374,1087,50,2,1
22-03-2026,Denial Management,1724,498,719,1503,14,18
10-03-2026,Payment Posting,920,404,638,686,1,2
18-03-2026,Denial Management,909,833,694,1048,14,12
11-03-2026,Payment Posting,718,642,649,711,1,1
15-03-2026,Payment Posting,2353,870,414,2809,1,3
30-03-2026,Charge Entry,2380,979,1037,2322,2,1
11-03-2026,Denial Management,661,444,439,666,14,11
28-03-2026,Denial Management,1823,966,1086,1703,14,13
27-03-2026,Denial Management,1413,731,671,1473,14,15
01-03-2026,Denial Management,1192,561,377,1376,14,11
04-03-2026,Charge Entry,1073,787,1125,735,2,3
08-03-2026,Denial Management,1408,414,894,928,14,14
30-03-2026,Payment Posting,966,590,583,973,1,3
30-03-2026,Denial Management,1968,531,550,1949,14,14
02-03-2026,Denial Management,752,958,1060,650,14,10
19-03-2026,Charge Entry,1153,454,812,795,2,3
25-03-2026,Denial Management,1970,636,862,1744,14,12
05-03-2026,Charge Entry,1064,879,955,988,2,1
23-03-2026,Denial Management,1109,431,1069,471,14,14
01-03-2026,Denial Management,931,641,1048,524,14,18
21-03-2026,Denial Management,1667,672,668,1671,14,18
21-03-2026,Denial Management,1093,818,1065,846,14,15
21-03-2026,Charge Entry,1653,366,373,1646,2,2
02-03-2026,Charge Entry,1936,848,677,2107,2,4
06-03-2026,Charge Entry,1421,891,1188,1124,2,1
07-03-2026,Charge Entry,1465,565,652,1378,2,2
23-03-2026,Charge Entry,2024,516,580,1960,2,4
23-03-2026,Charge Entry,1817,595,478,1934,2,1
18-03-2026,Charge Entry,1355,579,975,959,2,2
02-03-2026,Payment Posting,1561,795,678,1678,1,3
27-03-2026,Payment Posting,1307,693,577,1423,1,3
08-03-2026,Denial Management,1093,473,768,798,14,18
27-03-2026,Charge Entry,661,617,1141,137,2,3
20-03-2026,Denial Management,1175,789,505,1459,14,11
03-03-2026,Charge Entry,2414,702,772,2344,2,1
06-03-2026,Charge Entry,1844,699,787,1756,2,4
04-03-2026,Payment Posting,1302,512,1147,667,1,2
25-03-2026,Payment Posting,2409,734,731,2412,1,3
24-03-2026,Denial Management,1597,465,744,1318,14,13
12-03-2026,Denial Management,1835,643,888,1590,14,16
09-03-2026,Charge Entry,1169,1000,1045,1124,2,1
29-03-2026,Payment Posting,1730,889,493,2126,1,2
13-03-2026,Charge Entry,2040,788,1053,1775,2,3
16-03-2026,Payment Posting,2188,953,578,2563,1,1
15-03-2026,Charge Entry,1090,957,637,1410,2,3
15-03-2026,Payment Posting,2395,748,576,2567,1,1
26-03-2026,Denial Management,1328,983,384,1927,14,14
17-03-2026,Denial Management,529,405,727,207,14,18
29-03-2026,Payment Posting,1026,753,417,1362,1,3
10-03-2026,Payment Posting,2383,806,855,2334,1,1
16-03-2026,Payment Posting,1506,473,1168,811,1,2
05-03-2026,Charge Entry,606,541,746,401,2,3
27-03-2026,Payment Posting,580,330,928,-18,1,3
10-03-2026,Charge Entry,1856,857,545,2168,2,1
26-03-2026,Charge Entry,1942,875,690,2127,2,1
01-03-2026,Payment Posting,1262,368,822,808,1,3
28-03-2026,Payment Posting,1976,892,764,2104,1,1
08-03-2026,Charge Entry,1439,614,822,1231,2,3
13-03-2026,Payment Posting,1782,618,835,1565,1,3
19-03-2026,Payment Posting,2178,572,775,1975,1,2
28-03-2026,Payment Posting,2239,539,375,2403,1,2
11-03-2026,Payment Posting,2296,360,784,1872,1,1
02-03-2026,Payment Posting,1252,979,1095,1136,1,2
10-03-2026,Denial Management,2381,366,460,2287,14,12
09-03-2026,Denial Management,2213,822,651,2384,14,11
23-03-2026,Denial Management,1347,551,907,991,14,11
07-03-2026,Denial Management,1795,580,811,1564,14,18
01-03-2026,Payment Posting,1226,417,366,1277,1,3
24-03-2026,Charge Entry,721,765,433,1053,2,3
27-03-2026,Denial Management,1682,446,926,1202,14,16
16-03-2026,Payment Posting,667,520,749,438,1,2
02-03-2026,Denial Management,758,814,754,818,14,12
18-03-2026,Payment Posting,1587,674,409,1852,1,2
15-03-2026,Payment Posting,955,641,642,954,1,3
23-03-2026,Denial Management,2411,962,1178,2195,14,13
13-03-2026,Charge Entry,945,352,1085,212,2,3
07-03-2026,Charge Entry,2279,768,1192,1855,2,2
20-03-2026,Denial Management,1515,329,1039,805,14,13
09-03-2026,Denial Management,1362,669,1170,861,14,18
21-03-2026,Charge Entry,1530,794,806,1518,2,1
25-03-2026,Payment Posting,1179,388,849,718,1,1
23-03-2026,Payment Posting,2457,815,817,2455,1,2
23-03-2026,Denial Management,2264,770,737,2297,14,17
02-03-2026,Payment Posting,1505,971,567,1909,1,2
30-03-2026,Charge Entry,1774,342,1073,1043,2,4
17-03-2026,Charge Entry,631,498,751,378,2,4
27-03-2026,Charge Entry,1738,359,839,1258,2,3
26-03-2026,Denial Management,1310,788,793,1305,14,10
29-03-2026,Charge Entry,1101,833,571,1363,2,4
21-03-2026,Payment Posting,560,379,1190,-251,1,2
29-03-2026,Payment Posting,2016,364,1062,1318,1,3
19-03-2026,Denial Management,2159,640,1193,1606,14,14
24-03-2026,Charge Entry,1347,908,673,1582,2,4
13-03-2026,Charge Entry,2181,692,932,1941,2,2
02-03-2026,Payment Posting,1740,745,1197,1288,1,1
16-03-2026,Denial Management,534,824,844,514,14,13
26-03-2026,Payment Posting,1396,935,1132,1199,1,3
14-03-2026,Denial Management,1448,834,608,1674,14,14
29-03-2026,Payment Posting,1867,462,453,1876,1,3
07-03-2026,Payment Posting,2135,438,948,1625,1,3
28-03-2026,Denial Management,2282,679,858,2103,14,14
19-03-2026,Charge Entry,610,699,611,698,2,3
07-03-2026,Payment Posting,866,531,690,707,1,3
04-03-2026,Denial Management,2325,810,695,2440,14,14
13-03-2026,Denial Management,777,965,799,943,14,12
23-03-2026,Charge Entry,1412,471,835,1048,2,4
11-03-2026,Denial Management,835,368,659,544,14,18
22-03-2026,Payment Posting,1637,996,1066,1567,1,1
06-03-2026,Denial Management,1708,593,826,1475,14,17
09-03-2026,Payment Posting,2303,676,742,2237,1,1
30-03-2026,Payment Posting,1328,466,853,941,1,1
20-03-2026,Payment Posting,819,836,652,1003,1,1
09-03-2026,Payment Posting,1052,458,409,1101,1,1
17-03-2026,Charge Entry,1823,678,905,1596,2,1
03-03-2026,Denial Management,732,434,395,771,14,16
18-03-2026,Denial Management,937,986,743,1180,14,14
22-03-2026,Denial Management,939,795,931,803,14,15
01-03-2026,Charge Entry,1924,484,680,1728,2,4
07-03-2026,Payment Posting,2496,709,567,2638,1,1
28-03-2026,Charge Entry,1552,792,731,1613,2,4
10-03-2026,Charge Entry,1396,910,739,1567,2,3
13-03-2026,Charge Entry,562,340,1087,-185,2,4
01-03-2026,Payment Posting,1018,320,986,352,1,1
18-03-2026,Charge Entry,1434,805,709,1530,2,2
13-03-2026,Charge Entry,1176,648,593,1231,2,1
30-03-2026,Charge Entry,1524,946,939,1531,2,3
16-03-2026,Payment Posting,2413,853,358,2908,1,2
25-03-2026,Payment Posting,604,456,505,555,1,2
01-03-2026,Denial Management,2065,979,712,2332,14,17
19-03-2026,Denial Management,620,912,797,735,14,18
18-03-2026,Charge Entry,807,524,678,653,2,1
26-03-2026,Denial Management,1846,510,1111,1245,14,12
10-03-2026,Payment Posting,521,775,645,651,1,1
28-03-2026,Denial Management,1516,713,922,1307,14,11
27-03-2026,Denial Management,660,902,790,772,14,11
04-03-2026,Payment Posting,1451,951,867,1535,1,3
25-03-2026,Payment Posting,1840,643,729,1754,1,2
19-03-2026,Denial Management,603,353,468,488,14,14
11-03-2026,Payment Posting,1973,478,1094,1357,1,3
27-03-2026,Denial Management,1986,334,665,1655,14,13
07-03-2026,Denial Management,1123,766,1007,882,14,18
16-03-2026,Payment Posting,1305,806,1023,1088,1,2
05-03-2026,Payment Posting,1205,744,512,1437,1,1
15-03-2026,Charge Entry,805,445,543,707,2,4
21-03-2026,Denial Management,538,798,983,353,14,14
24-03-2026,Charge Entry,2033,923,587,2369,2,3
18-03-2026,Charge Entry,1287,603,1096,794,2,2
07-03-2026,Denial Management,2070,490,524,2036,14,10
18-03-2026,Denial Management,2344,970,702,2612,14,16
20-03-2026,Denial Management,2161,415,377,2199,14,11
17-03-2026,Charge Entry,736,440,921,255,2,1
30-03-2026,Denial Management,659,934,359,1234,14,14
17-03-2026,Charge Entry,1003,828,468,1363,2,4
25-03-2026,Charge Entry,1729,745,868,1606,2,2
24-03-2026,Charge Entry,2139,835,1007,1967,2,4
02-03-2026,Charge Entry,2207,307,562,1952,2,3
11-03-2026,Charge Entry,791,673,842,622,2,1
01-03-2026,Payment Posting,1009,319,352,976,1,1
02-03-2026,Denial Management,1943,748,674,2017,14,11
07-03-2026,Denial Management,1786,985,781,1990,14,10
29-03-2026,Payment Posting,2426,468,1024,1870,1,2
09-03-2026,Payment Posting,2193,354,652,1895,1,3
17-03-2026,Denial Management,1431,543,532,1442,14,15
25-03-2026,Denial Management,589,1000,896,693,14,17
17-03-2026,Charge Entry,1627,991,955,1663,2,2
21-03-2026,Denial Management,1506,444,1088,862,14,13
16-03-2026,Payment Posting,1103,430,537,996,1,1
30-03-2026,Charge Entry,1382,577,1040,919,2,2
24-03-2026,Payment Posting,1362,551,1193,720,1,2
17-03-2026,Charge Entry,1805,403,1183,1025,2,2
27-03-2026,Payment Posting,1781,968,425,2324,1,2
25-03-2026,Payment Posting,584,341,1073,-148,1,3
15-03-2026,Denial Management,1432,302,1078,656,14,17
20-03-2026,Denial Management,2340,507,805,2042,14,13
29-03-2026,Charge Entry,1746,369,1049,1066,2,4
17-03-2026,Charge Entry,2153,659,674,2138,2,4
13-03-2026,Denial Management,883,687,559,1011,14,14
14-03-2026,Denial Management,1147,574,688,1033,14,10
14-03-2026,Charge Entry,931,470,1081,320,2,3
26-03-2026,Payment Posting,1988,566,1198,1356,1,3
02-03-2026,Denial Management,996,448,418,1026,14,12
25-03-2026,Denial Management,2186,711,1006,1891,14,17
13-03-2026,Denial Management,1151,830,425,1556,14,13
16-03-2026,Payment Posting,1021,674,393,1302,1,2
07-03-2026,Payment Posting,696,856,740,812,1,1
27-03-2026,Charge Entry,2206,757,712,2251,2,1
29-03-2026,Charge Entry,1844,372,963,1253,2,2
16-03-2026,Payment Posting,874,997,483,1388,1,1
26-03-2026,Charge Entry,2128,768,398,2498,2,4
20-03-2026,Charge Entry,1255,957,1097,1115,2,2
18-03-2026,Payment Posting,2387,955,672,2670,1,2
14-03-2026,Payment Posting,1130,707,363,1474,1,3
01-03-2026,Charge Entry,1086,478,603,961,2,2
20-03-2026,Payment Posting,609,557,513,653,1,3
07-03-2026,Denial Management,1935,450,443,1942,14,12
06-03-2026,Charge Entry,1302,723,364,1661,2,2
02-03-2026,Denial Management,2292,796,858,2230,14,17
19-03-2026,Charge Entry,736,660,1083,313,2,3
21-03-2026,Denial Management,2258,342,950,1650,14,11
04-03-2026,Charge Entry,1516,790,474,1832,2,1
10-03-2026,Charge Entry,1623,708,712,1619,2,4
23-03-2026,Denial Management,2055,367,577,1845,14,10
05-03-2026,Payment Posting,2061,901,802,2160,1,3
15-03-2026,Payment Posting,2147,869,368,2648,1,3
05-03-2026,Charge Entry,1366,414,570,1210,2,3
21-03-2026,Charge Entry,1200,958,380,1778,2,3
08-03-2026,Charge Entry,2126,302,1116,1312,2,1
13-03-2026,Denial Management,1929,969,420,2478,14,15
08-03-2026,Payment Posting,2388,535,996,1927,1,1
15-03-2026,Payment Posting,711,761,744,728,1,2
03-03-2026,Denial Management,2337,921,1200,2058,14,13
16-03-2026,Payment Posting,2079,747,879,1947,1,3
17-03-2026,Denial Management,839,658,690,807,14,14
21-03-2026,Charge Entry,1171,835,823,1183,2,1
10-03-2026,Payment Posting,1318,673,469,1522,1,2
01-03-2026,Charge Entry,1124,696,1072,748,2,1
29-03-2026,Payment Posting,1789,813,371,2231,1,1
16-03-2026,Payment Posting,1173,753,662,1264,1,1
18-03-2026,Charge Entry,598,381,989,-10,2,2
08-03-2026,Payment Posting,1598,609,1004,1203,1,2
28-03-2026,Denial Management,833,716,1092,457,14,12
16-03-2026,Denial Management,1197,440,363,1274,14,12
17-03-2026,Denial Management,1940,724,1026,1638,14,14
21-03-2026,Denial Management,820,366,1133,53,14,10
08-03-2026,Denial Management,1328,600,1133,795,14,15
23-03-2026,Payment Posting,1619,909,816,1712,1,3
18-03-2026,Charge Entry,1811,792,758,1845,2,2
13-03-2026,Denial Management,559,659,763,455,14,17
24-03-2026,Denial Management,1027,634,430,1231,14,12
01-03-2026,Denial Management,1534,615,799,1350,14,11
21-03-2026,Charge Entry,1371,962,727,1606,2,2
17-03-2026,Denial Management,2484,807,482,2809,14,12
28-03-2026,Payment Posting,2225,873,996,2102,1,3
22-03-2026,Payment Posting,2252,776,495,2533,1,1
13-03-2026,Payment Posting,1928,429,463,1894,1,2
15-03-2026,Denial Management,1338,974,738,1574,14,12
15-03-2026,Denial Management,1408,551,1183,776,14,15
22-03-2026,Charge Entry,2069,931,1003,1997,2,2
20-03-2026,Payment Posting,783,634,431,986,1,2
15-03-2026,Denial Management,1865,888,882,1871,14,10
02-03-2026,Denial Management,831,689,727,793,14,14
06-03-2026,Payment Posting,982,636,1084,534,1,2
11-03-2026,Charge Entry,1335,592,590,1337,2,4
13-03-2026,Payment Posting,2447,986,1010,2423,1,1
24-03-2026,Denial Management,1088,986,508,1566,14,13
25-03-2026,Charge Entry,2281,472,793,1960,2,1
12-03-2026,Charge Entry,606,321,696,231,2,3
30-03-2026,Payment Posting,1422,943,535,1830,1,3
15-03-2026,Denial Management,1599,966,824,1741,14,18
21-03-2026,Payment Posting,1963,446,666,1743,1,3
05-03-2026,Denial Management,1177,456,473,1160,14,18
02-03-2026,Payment Posting,1723,399,1196,926,1,2
28-03-2026,Denial Management,1713,745,746,1712,14,10
20-03-2026,Denial Management,1189,761,389,1561,14,15
09-03-2026,Charge Entry,1053,994,1159,888,2,3
13-03-2026,Payment Posting,691,338,626,403,1,3
26-03-2026,Payment Posting,1135,910,1133,912,1,3
04-03-2026,Charge Entry,1124,852,822,1154,2,2
26-03-2026,Payment Posting,1292,789,1000,1081,1,3
18-03-2026,Denial Management,679,618,1187,110,14,13
18-03-2026,Charge Entry,1080,710,462,1328,2,3
18-03-2026,Charge Entry,1679,320,660,1339,2,4
19-03-2026,Denial Management,2037,616,910,1743,14,18
24-03-2026,Payment Posting,1293,841,942,1192,1,3
30-03-2026,Charge Entry,2010,595,444,2161,2,1
13-03-2026,Payment Posting,646,873,434,1085,1,3
04-03-2026,Denial Management,1936,921,913,1944,14,16
24-03-2026,Denial Management,1743,376,616,1503,14,12
06-03-2026,Payment Posting,1529,403,799,1133,1,2
26-03-2026,Charge Entry,689,677,670,696,2,1
04-03-2026,Denial Management,1961,747,807,1901,14,18
09-03-2026,Denial Management,2093,918,1140,1871,14,17
07-03-2026,Payment Posting,1648,633,928,1353,1,2
06-03-2026,Denial Management,2319,948,395,2872,14,13
23-03-2026,Charge Entry,1294,542,1089,747,2,1
23-03-2026,Payment Posting,669,360,576,453,1,1
17-03-2026,Denial Management,1867,976,1038,1805,14,14
24-03-2026,Payment Posting,1702,646,1107,1241,1,1
12-03-2026,Payment Posting,967,804,442,1329,1,1
10-03-2026,Denial Management,1578,817,863,1532,14,13
23-03-2026,Charge Entry,1459,458,640,1277,2,2
29-03-2026,Payment Posting,871,563,366,1068,1,1
14-03-2026,Payment Posting,549,812,1087,274,1,1
02-03-2026,Charge Entry,2072,769,1001,1840,2,3
25-03-2026,Denial Management,1260,925,562,1623,14,16
19-03-2026,Charge Entry,2318,467,577,2208,2,3
06-03-2026,Payment Posting,663,423,573,513,1,1
21-03-2026,Denial Management,911,832,863,880,14,15
24-03-2026,Denial Management,2336,429,584,2181,14,12
24-03-2026,Charge Entry,949,424,845,528,2,2
13-03-2026,Charge Entry,546,595,752,389,2,1
12-03-2026,Denial Management,736,410,590,556,14,14
29-03-2026,Payment Posting,1412,422,469,1365,1,2
20-03-2026,Charge Entry,2187,365,437,2115,2,4
18-03-2026,Charge Entry,664,720,1057,327,2,3
01-03-2026,Denial Management,870,637,1075,432,14,10
26-03-2026,Denial Management,1158,903,830,1231,14,15
11-03-2026,Denial Management,1910,345,1071,1184,14,13
14-03-2026,Denial Management,1367,539,728,1178,14,14
19-03-2026,Payment Posting,1939,751,997,1693,1,3
09-03-2026,Payment Posting,1402,563,477,1488,1,2
13-03-2026,Charge Entry,687,890,454,1123,2,2
18-03-2026,Payment Posting,573,990,538,1025,1,1
30-03-2026,Charge Entry,1657,327,981,1003,2,1
26-03-2026,Denial Management,1291,571,1053,809,14,13
09-03-2026,Charge Entry,1973,560,398,2135,2,1
25-03-2026,Charge Entry,2237,840,971,2106,2,4
06-03-2026,Payment Posting,621,742,1089,274,1,2
09-03-2026,Denial Management,1725,639,843,1521,14,18
27-03-2026,Payment Posting,1907,411,982,1336,1,2
01-03-2026,Payment Posting,1288,467,702,1053,1,2
08-03-2026,Charge Entry,1644,679,845,1478,2,4
07-03-2026,Denial Management,1927,735,851,1811,14,16
23-03-2026,Charge Entry,866,604,985,485,2,2
09-03-2026,Charge Entry,1845,855,1134,1566,2,3
01-03-2026,Denial Management,1462,714,805,1371,14,11
09-03-2026,Charge Entry,2033,511,923,1621,2,3
20-03-2026,Charge Entry,1110,417,969,558,2,1
23-03-2026,Payment Posting,2141,821,1081,1881,1,2
20-03-2026,Denial Management,903,597,769,731,14,17
25-03-2026,Denial Management,1190,339,923,606,14,15
05-03-2026,Charge Entry,1491,479,1170,800,2,3
07-03-2026,Charge Entry,1377,846,875,1348,2,1
03-03-2026,Charge Entry,768,921,421,1268,2,2
13-03-2026,Denial Management,1292,435,354,1373,14,13
27-03-2026,Denial Management,1662,502,840,1324,14,18
22-03-2026,Denial Management,1579,405,758,1226,14,11
20-03-2026,Payment Posting,2113,714,388,2439,1,3
04-03-2026,Payment Posting,1032,815,381,1466,1,3
30-03-2026,Charge Entry,990,402,832,560,2,2
